treaty_id,cedent_company,reinsurer_company,treaty_type,treaty_name,line_of_business,territory,cat_region,retention_amount,treaty_limit,attachment_point,cession_percent,reinsurer_share,risk_tier,exclusions,treaty_summary,source_system,data_sensitivity,effective_date,expiration_date,treaty_status,created_timestamp,updated_timestamp,created_by,updated_by,cat_exposure_score,coverage_region,limit_amount,reinstatement_terms
TRT-000001,Horton-Maxwell,Hancock PLC,Catastrophe XOL,Global Commercial Auto Catastrophe XOL Treaty,Commercial Auto,Global,Global,962214.91,5000000,962214.91,90,90.00,Medium,War Exclusion,Treaty includes catastrophe protection for Global.,reinsurance_admin_system,internal,2025-03-16,2026-03-16,Expired,2025-02-14T15:50:00.797973,2025-06-14T15:50:00.797973,reinsurance_analyst_001,reinsurance_analyst_001,0.82,Global,5000000.00,One reinstatement at 100% additional premium
TRT-000002,Ramos-Lopez,"Bell, Levine and Brewer",Excess of Loss,Gulf Coast Workers Compensation Excess of Loss Treaty,Workers Compensation,Gulf Coast,Gulf Coast,6769306.10,100000000,6769306.10,30,30.00,Medium,Pandemic Exclusion,Treaty includes catastrophe protection for Gulf Coast.,ceded_reinsurance_portal,internal,2025-03-30,2026-03-30,Expired,2025-02-28T15:50:00.797973,2025-06-28T15:50:00.797973,reinsurance_analyst_001,reinsurance_analyst_001,0.44,Gulf Coast,100000000.00,One reinstatement at 100% additional premium
TRT-000003,"Hartman, Welch and Cisneros","Lee, White and Taylor",Quota Share,North America General Liability Quota Share Treaty,General Liability,North America,North America,4867244.31,25000000,4867244.31,75,75.00,Medium,Terrorism Exclusion,Treaty designed to reduce retained underwriting volatility.,ceded_reinsurance_portal,restricted,2025-03-03,2026-03-03,Expired,2025-02-01T15:50:00.798972,2025-06-01T15:50:00.798972,reinsurance_analyst_001,reinsurance_analyst_001,0.67,North America,25000000.00,Not applicable / subject to treaty terms
TRT-000004,"Meyers, Smith and Meyer",Crosby Inc,Excess of Loss,United States Cyber Excess of Loss Treaty,Cyber,United States,United States,1642481.82,10000000,1642481.82,50,50.00,Medium,"Terrorism Exclusion, War Exclusion",Reinsurance agreement structured for multi-line protection.,reinsurance_admin_system,internal,2024-11-02,2025-11-02,Expired,2024-10-03T15:50:00.798972,2025-01-31T15:50:00.798972,ri_manager_001,reinsurance_analyst_001,0.29,United States,10000000.00,One reinstatement at 100% additional premium
TRT-000005,Dawson Ltd,Henry Group,Surplus Share,North America Workers Compensation Surplus Share Treaty,Workers Compensation,North America,North America,16143147.45,100000000,16143147.45,30,30.00,Medium,"War Exclusion, Nuclear Exclusion",Coverage includes regional catastrophe aggregation management.,treaty_management_platform,restricted,2025-06-14,2026-06-14,Active,2025-05-15T15:50:00.798972,2025-09-12T15:50:00.798972,ri_manager_001,ri_manager_001,0.53,North America,100000000.00,Not applicable / subject to treaty terms
TRT-000006,"Smith, Woods and Henderson",Torres Group,Excess of Loss,Southeast US Commercial Auto Excess of Loss Treaty,Commercial Auto,Southeast US,Southeast US,819709.41,10000000,819709.41,40,40.00,Medium,"Cyber Exclusion, Nuclear Exclusion",Reinsurance agreement structured for multi-line protection.,treaty_management_platform,internal,2026-01-24,2027-01-24,Active,2025-12-25T15:50:00.798972,2026-04-24T15:50:00.798972,reinsurance_analyst_001,ri_manager_001,0.76,Southeast US,10000000.00,One reinstatement at 100% additional premium
TRT-000007,"Blackwell, Murphy and Jones",Obrien-Richardson,Catastrophe XOL,Southeast US Cyber Catastrophe XOL Treaty,Cyber,Southeast US,Southeast US,8498650.49,100000000,8498650.49,20,20.00,High,"Cyber Exclusion, Terrorism Exclusion",Treaty includes catastrophe protection for Southeast US.,treaty_management_platform,restricted,2024-11-26,2025-11-26,Expired,2024-10-27T15:50:00.799971,2025-02-24T15:50:00.799971,ri_manager_001,reinsurance_analyst_001,0.38,Southeast US,100000000.00,One reinstatement at 100% additional premium
TRT-000008,"Ali, Brown and Doyle",Nguyen and Sons,Quota Share,Southeast US Cyber Quota Share Treaty,Cyber,Southeast US,Southeast US,1065059.75,5000000,1065059.75,40,40.00,Low,War Exclusion,Treaty includes catastrophe protection for Southeast US.,ceded_reinsurance_portal,confidential,2023-04-24,2024-04-23,Expired,2023-03-25T15:50:00.799971,2023-07-23T15:50:00.799971,reinsurance_analyst_001,ri_manager_001,0.61,Southeast US,5000000.00,Not applicable / subject to treaty terms
TRT-000009,Burton Inc,Horn-Hodges,Surplus Share,Southeast US Workers Compensation Surplus Share Treaty,Workers Compensation,Southeast US,Southeast US,24481139.51,100000000,24481139.51,75,75.00,High,Nuclear Exclusion,Coverage includes regional catastrophe aggregation management.,ceded_reinsurance_portal,restricted,2024-01-26,2025-01-25,Expired,2023-12-27T15:50:00.799971,2024-04-25T15:50:00.799971,reinsurance_analyst_001,ri_manager_001,0.82,Southeast US,100000000.00,Not applicable / subject to treaty terms
TRT-000010,Haas-Sandoval,Kerr Ltd,Catastrophe XOL,United States Cyber Catastrophe XOL Treaty,Cyber,United States,United States,3491388.25,25000000,3491388.25,10,10.00,Medium,"Cyber Exclusion, Nuclear Exclusion",Treaty designed to reduce retained underwriting volatility.,ceded_reinsurance_portal,restricted,2023-02-22,2024-02-22,Expired,2023-01-23T15:50:00.799971,2023-05-23T15:50:00.799971,ri_manager_001,ri_manager_001,0.44,United States,25000000.00,One reinstatement at 100% additional premium
