cat_event_id,event_id,event_name,event_type,severity,region,estimated_loss,expected_claims_volume,event_summary,source_system,data_sensitivity,event_date,event_timestamp,ingestion_timestamp,created_by,country,estimated_insured_loss,estimated_economic_loss,exposure_count,severity_score,event_status,estimated_loss_amount,affected_claim_count
CAT-000001,CAT-000001,Wildfire Event 1,Wildfire,Low,Oklahoma,971342.7,213,Insured losses expected to increase following Wildfire event.,cat_model_platform,internal,2024-12-07,2024-12-07T15:50:01.371366,2024-12-09T15:50:01.371366,cat_monitoring_system,USA,5000000,9000000.0,1000,0.82,Active,971342.7,213
CAT-000002,CAT-000002,Hailstorm Event 2,Hailstorm,Low,California,1089926.17,201,Claims surge anticipated due to severe weather conditions.,exposure_aggregation_system,internal,2024-07-08,2024-07-08T15:50:01.371366,2024-07-08T17:50:01.371366,cat_monitoring_system,USA,6000000,10800000.0,1250,0.44,Monitoring,1089926.17,201
CAT-000003,CAT-000003,Hailstorm Event 3,Hailstorm,Moderate,Florida,23243752.64,704,Insured losses expected to increase following Hailstorm event.,cat_model_platform,internal,2025-06-27,2025-06-27T15:50:01.371366,2025-06-29T06:50:01.371366,cat_monitoring_system,USA,7000000,12600000.0,1500,0.67,Closed,23243752.64,704
CAT-000004,CAT-000004,Flood Event 4,Flood,High,Oklahoma,80936301.28,5219,Claims surge anticipated due to severe weather conditions.,weather_event_feed,confidential,2024-05-16,2024-05-16T15:50:01.371366,2024-05-18T10:50:01.371366,cat_monitoring_system,USA,8000000,14400000.0,1750,0.29,Active,80936301.28,5219
CAT-000005,CAT-000005,Tornado Event 5,Tornado,Low,Florida,3558578.75,131,Exposure monitoring initiated after Tornado activity in Florida.,exposure_aggregation_system,internal,2025-03-24,2025-03-24T15:50:01.371366,2025-03-25T15:50:01.371366,cat_monitoring_system,USA,9000000,16200000.0,2000,0.53,Monitoring,3558578.75,131
CAT-000006,CAT-000006,Winter Storm Event 6,Winter Storm,Moderate,Florida,19829147.13,554,Claims surge anticipated due to severe weather conditions.,cat_model_platform,confidential,2025-08-09,2025-08-09T15:50:01.371366,2025-08-10T13:50:01.371366,cat_monitoring_system,USA,10000000,18000000.0,2250,0.76,Closed,19829147.13,554
CAT-000007,CAT-000007,Tornado Event 7,Tornado,High,Louisiana,105429599.3,6925,Insured losses expected to increase following Tornado event.,cat_model_platform,internal,2026-02-25,2026-02-25T15:50:01.371366,2026-02-27T15:50:01.371366,cat_monitoring_system,USA,11000000,19800000.0,2500,0.38,Active,105429599.3,6925
CAT-000008,CAT-000008,Hurricane Event 8,Hurricane,High,Florida,136570383.33,5823,CAT event caused widespread operational disruption across Florida.,cat_model_platform,confidential,2024-07-24,2024-07-24T15:50:01.371366,2024-07-25T14:50:01.371366,cat_monitoring_system,USA,12000000,21600000.0,2750,0.61,Monitoring,136570383.33,5823
CAT-000009,CAT-000009,Tornado Event 9,Tornado,Low,Florida,4626082.01,122,CAT event caused widespread operational disruption across Florida.,exposure_aggregation_system,internal,2024-05-23,2024-05-23T15:50:01.371366,2024-05-25T05:50:01.371366,cat_monitoring_system,USA,13000000,23400000.0,3000,0.82,Closed,4626082.01,122
CAT-000010,CAT-000010,Earthquake Event 10,Earthquake,Moderate,Florida,10185037.94,1143,Insured losses expected to increase following Earthquake event.,cat_model_platform,internal,2024-03-16,2024-03-16T15:50:01.371366,2024-03-18T01:50:01.371366,cat_monitoring_system,USA,14000000,25200000.0,3250,0.44,Active,10185037.94,1143
CAT-000011,CAT-000011,Earthquake Event 11,Earthquake,Extreme,Florida,888829261.08,18963,Extreme severity Earthquake impacted Florida.,weather_event_feed,confidential,2024-12-03,2024-12-03T15:50:01.371366,2024-12-04T11:50:01.371366,cat_monitoring_system,USA,15000000,27000000.0,3500,0.67,Monitoring,888829261.08,18963
CAT-000012,CAT-000012,Wildfire Event 12,Wildfire,High,Texas,123213447.37,3744,Insured losses expected to increase following Wildfire event.,weather_event_feed,internal,2024-12-31,2024-12-31T15:50:01.371366,2024-12-31T18:50:01.371366,cat_monitoring_system,USA,16000000,28800000.0,3750,0.29,Closed,123213447.37,3744
