claim_id,policy_id,insured_name,line_of_business,loss_date,loss_type,claim_status,reserve_amount,paid_amount,adjuster_notes,litigation_flag,pii_flag,data_sensitivity,source_system,created_timestamp,updated_timestamp,created_by,updated_by
CLM-000001,POL-000253,Miller and Sons,Commercial Auto,2024-07-21,General Liability,In Review,317015.89,152455.78,Initial review completed for General Liability. Claim status is currently In Review.,False,False,restricted,claims_core_system,2024-07-23T15:49:58.115896,2024-09-09T15:49:58.115896,claims_adjuster_002,claims_adjuster_001
CLM-000002,POL-000266,Wilcox Inc,Workers Compensation,2024-06-25,Water Damage,Litigation,318913.52,62834.84,Pending supervisor review due to complexity of Water Damage claim.,True,False,restricted,fnol_portal,2024-06-26T15:49:58.115896,2024-06-30T15:49:58.115896,claims_manager_001,claims_adjuster_001
CLM-000003,POL-000137,"Mcdonald, Rivera and Crane",Commercial Auto,2024-05-07,Fire,In Review,456509.12,60796.71,Coverage review in progress. Adjuster evaluating damages related to Fire.,False,False,internal,claims_core_system,2024-05-11T15:49:58.115896,2024-08-10T15:49:58.115896,claims_adjuster_002,claims_adjuster_002
CLM-000004,POL-000079,Anderson-Taylor,Workers Compensation,2024-09-03,Auto Liability,Open,195281.24,194571.22,Additional documentation requested from insured regarding Auto Liability.,False,True,restricted,adjuster_workbench,2024-09-05T15:49:58.115896,2024-11-21T15:49:58.115896,claims_manager_001,claims_manager_001
CLM-000005,POL-000167,Smith and Sons,Commercial Property,2025-11-06,Water Damage,Litigation,301278.71,51308.53,Coverage review in progress. Adjuster evaluating damages related to Water Damage.,True,False,restricted,fnol_portal,2025-11-14T15:49:58.115896,2025-11-15T15:49:58.115896,claims_adjuster_001,claims_manager_001
CLM-000006,POL-000138,Smith-Cole,Umbrella,2024-07-21,Hail,Litigation,174077.79,115987.03,Additional documentation requested from insured regarding Hail.,True,True,internal,fnol_portal,2024-07-25T15:49:58.115896,2024-11-07T15:49:58.115896,claims_manager_001,claims_adjuster_002
CLM-000007,POL-000065,"Wilkins, Wilkins and Walton",General Liability,2025-04-27,Water Damage,Pending Documents,316258.82,106830.02,Coverage review in progress. Adjuster evaluating damages related to Water Damage.,False,False,restricted,claims_core_system,2025-05-05T15:49:58.115896,2025-08-20T15:49:58.115896,claims_adjuster_001,claims_adjuster_001
CLM-000008,POL-000049,"Ellison, Blackburn and Gomez",General Liability,2024-01-27,Workers Compensation,Denied,358088.94,270381.86,Coverage review in progress. Adjuster evaluating damages related to Workers Compensation.,False,False,confidential,fnol_portal,2024-02-02T15:49:58.115896,2024-02-24T15:49:58.115896,claims_manager_001,claims_adjuster_002
CLM-000009,POL-000253,"Friedman, Henry and Perez",Commercial Property,2024-04-14,Theft,Pending Documents,231317.65,208304.06,Pending supervisor review due to complexity of Theft claim.,False,False,internal,claims_core_system,2024-04-16T15:49:58.115896,2024-07-12T15:49:58.115896,claims_manager_001,claims_adjuster_001
CLM-000010,POL-000146,Mcneil Ltd,General Liability,2024-09-14,Property Damage,Closed,310167.36,277825.69,Claim file updated after inspection. Current status: Closed.,False,False,confidential,adjuster_workbench,2024-09-18T15:49:58.115896,2025-01-15T15:49:58.115896,claims_adjuster_001,claims_adjuster_001
CLM-000011,POL-000091,Edwards Inc,Workers Compensation,2024-09-06,Hail,Open,112714.99,24888.22,Claim file updated after inspection. Current status: Open.,False,False,internal,fnol_portal,2024-09-13T15:49:58.115896,2024-11-21T15:49:58.115896,claims_adjuster_002,claims_manager_001
CLM-000012,POL-000171,Reynolds-Jones,Umbrella,2024-11-15,Hail,In Review,398623.96,153285.93,Coverage review in progress. Adjuster evaluating damages related to Hail.,False,False,restricted,claims_core_system,2024-11-16T15:49:58.115896,2025-03-05T15:49:58.115896,claims_adjuster_001,claims_adjuster_001
